Campionato;GiornoSettimana;GiornoMese;Mese;Casa;Trasferta;GoalCasa;GoalTrasferta
2019/20;Mer;1;Lug;Bologna;Cagliari;1;1
2019/20;Mer;1;Lug;Inter;Brescia;6;0
2019/20;Mer;1;Lug;Fiorentina;Sassuolo;1;3
2019/20;Mer;1;Lug;Hellas Verona;Parma;3;2
2019/20;Mer;1;Lug;Lecce;Sampdoria;1;2
2019/20;Mer;1;Lug;SPAL;Milan;2;2
2019/20;Gio;2;Lug;Atalanta;Napoli;2;0
2019/20;Gio;2;Lug;Roma;Udinese;0;2
2019/20;Sab;4;Lug;Juventus;Torino;4;1
2019/20;Sab;4;Lug;Sassuolo;Lecce;4;2
2019/20;Sab;4;Lug;Lazio;Milan;0;3
2019/20;Dom;5;Lug;Inter;Bologna;1;2
2019/20;Dom;5;Lug;Brescia;Hellas Verona;2;0
2019/20;Dom;5;Lug;Cagliari;Atalanta;0;1
2019/20;Dom;5;Lug;Parma;Fiorentina;1;2
2019/20;Dom;5;Lug;Sampdoria;SPAL;3;0
2019/20;Dom;5;Lug;Udinese;Genoa;2;2
2019/20;Dom;5;Lug;Napoli;Roma;2;1
2019/20;Mar;7;Lug;Lecce;Lazio;2;1
2019/20;Mar;7;Lug;Milan;Juventus;4;2
2019/20;Mer;8;Lug;Fiorentina;Cagliari;0;0
2019/20;Mer;8;Lug;Genoa;Napoli;1;2
2019/20;Mer;8;Lug;Roma;Parma;2;1
2019/20;Mer;8;Lug;Atalanta;Sampdoria;2;0
2019/20;Mer;8;Lug;Bologna;Sassuolo;1;2
2019/20;Mer;8;Lug;Torino;Brescia;3;1
2019/20;Gio;9;Lug;SPAL;Udinese;0;3
2019/20;Gio;9;Lug;Hellas Verona;Inter;2;2
2019/20;Sab;11;Lug;Lazio;Sassuolo;1;2
2019/20;Sab;11;Lug;Brescia;Roma;0;3
2019/20;Sab;11;Lug;Juventus;Atalanta;2;2
2019/20;Dom;12;Lug;Genoa;SPAL;2;0
2019/20;Dom;12;Lug;Cagliari;Lecce;0;0
2019/20;Dom;12;Lug;Fiorentina;Hellas Verona;1;1
2019/20;Dom;12;Lug;Parma;Bologna;2;2
2019/20;Dom;12;Lug;Udinese;Sampdoria;1;3
2019/20;Dom;12;Lug;Napoli;Milan;2;2
2019/20;Lun;13;Lug;Inter;Torino;3;1
2019/20;Mar;14;Lug;Atalanta;Brescia;6;2
2019/20;Mer;15;Lug;Milan;Parma;3;1
2019/20;Mer;15;Lug;Bologna;Napoli;1;1
2019/20;Mer;15;Lug;Sampdoria;Cagliari;3;0
2019/20;Mer;15;Lug;Roma;Hellas Verona;2;1
2019/20;Mer;15;Lug;Lecce;Fiorentina;1;3
2019/20;Mer;15;Lug;Sassuolo;Juventus;3;3
2019/20;Mer;15;Lug;Udinese;Lazio;0;0
2019/20;Gio;16;Lug;Torino;Genoa;3;0
2019/20;Gio;16;Lug;SPAL;Inter;0;4
2019/20;Sab;18;Lug;Hellas Verona;Atalanta;1;1
2019/20;Sab;18;Lug;Cagliari;Sassuolo;1;1
2019/20;Sab;18;Lug;Milan;Bologna;5;1
2019/20;Dom;19;Lug;Parma;Sampdoria;2;3
2019/20;Dom;19;Lug;Brescia;SPAL;2;1
2019/20;Dom;19;Lug;Fiorentina;Torino;2;0
2019/20;Dom;19;Lug;Genoa;Lecce;2;1
2019/20;Dom;19;Lug;Napoli;Udinese;2;1
2019/20;Dom;19;Lug;Roma;Inter;2;2
2019/20;Lun;20;Lug;Juventus;Lazio;2;1
2019/20;Mar;21;Lug;Atalanta;Bologna;1;0
2019/20;Mar;21;Lug;Sassuolo;Milan;1;2
2019/20;Mer;22;Lug;Parma;Napoli;2;1
2019/20;Mer;22;Lug;Inter;Fiorentina;0;0
2019/20;Mer;22;Lug;Lecce;Brescia;3;1
2019/20;Mer;22;Lug;Sampdoria;Genoa;1;2
2019/20;Mer;22;Lug;SPAL;Roma;1;6
2019/20;Mer;22;Lug;Torino;Hellas Verona;1;1
2019/20;Gio;23;Lug;Udinese;Juventus;2;1
2019/20;Gio;23;Lug;Lazio;Cagliari;2;1
2019/20;Ven;24;Lug;Milan;Atalanta;1;1
2019/20;Sab;25;Lug;Brescia;Parma;1;2
2019/20;Sab;25;Lug;Genoa;Inter;0;3
2019/20;Sab;25;Lug;Napoli;Sassuolo;2;0
2019/20;Dom;26;Lug;Bologna;Lecce;3;2
2019/20;Dom;26;Lug;Roma;Fiorentina;2;1
2019/20;Dom;26;Lug;Cagliari;Udinese;0;1
2019/20;Dom;26;Lug;Hellas Verona;Lazio;1;5
2019/20;Dom;26;Lug;SPAL;Torino;1;1
2019/20;Dom;26;Lug;Juventus;Sampdoria;2;0
2019/20;Mar;28;Lug;Parma;Atalanta;1;2
2019/20;Mar;28;Lug;Inter;Napoli;2;0
2019/20;Mer;29;Lug;Hellas Verona;SPAL;3;0
2019/20;Mer;29;Lug;Lazio;Brescia;2;0
2019/20;Mer;29;Lug;Sampdoria;Milan;1;4
2019/20;Mer;29;Lug;Sassuolo;Genoa;5;0
2019/20;Mer;29;Lug;Udinese;Lecce;1;2
2019/20;Mer;29;Lug;Cagliari;Juventus;2;0
2019/20;Mer;29;Lug;Fiorentina;Bologna;4;0
2019/20;Mer;29;Lug;Torino;Roma;2;3
2019/20;Sab;1;Ago;Brescia;Sampdoria;1;1
2019/20;Sab;1;Ago;Milan;Cagliari;3;0
2019/20;Sab;1;Ago;Atalanta;Inter;0;2
2019/20;Sab;1;Ago;Juventus;Roma;1;3
2019/20;Sab;1;Ago;Napoli;Lazio;3;1
2019/20;Dom;2;Ago;SPAL;Fiorentina;1;3
2019/20;Dom;2;Ago;Bologna;Torino;1;1
2019/20;Dom;2;Ago;Genoa;Hellas Verona;3;0
2019/20;Dom;2;Ago;Lecce;Parma;3;4
2019/20;Dom;2;Ago;Sassuolo;Udinese;0;1
2020/21;Sab;19;Set;Fiorentina;Torino;1;0
2020/21;Sab;19;Set;Hellas Verona;Roma;3;0
2020/21;Dom;20;Set;Parma;Napoli;0;2
2020/21;Dom;20;Set;Genoa;Crotone;4;1
2020/21;Dom;20;Set;Sassuolo;Cagliari;1;1
2020/21;Dom;20;Set;Juventus;Sampdoria;3;0
2020/21;Lun;21;Set;Milan;Bologna;2;0
2020/21;Sab;26;Set;Torino;Atalanta;2;4
2020/21;Sab;26;Set;Cagliari;Lazio;0;2
2020/21;Sab;26;Set;Sampdoria;Benevento;2;3
2020/21;Sab;26;Set;Inter;Fiorentina;4;3
2020/21;Dom;27;Set;Spezia;Sassuolo;1;4
2020/21;Dom;27;Set;Hellas Verona;Udinese;1;0
2020/21;Dom;27;Set;Crotone;Milan;0;2
2020/21;Dom;27;Set;Napoli;Genoa;6;0
2020/21;Dom;27;Set;Roma;Juventus;2;2
2020/21;Lun;28;Set;Bologna;Parma;4;1
2020/21;Mer;30;Set;Benevento;Inter;2;5
2020/21;Mer;30;Set;Udinese;Spezia;0;2
2020/21;Mer;30;Set;Lazio;Atalanta;1;4
2020/21;Ven;2;Ott;Fiorentina;Sampdoria;1;2
2020/21;Sab;3;Ott;Sassuolo;Crotone;4;1
2020/21;Sab;3;Ott;Udinese;Roma;0;1
2020/21;Dom;4;Ott;Atalanta;Cagliari;5;2
2020/21;Dom;4;Ott;Benevento;Bologna;1;0
2020/21;Dom;4;Ott;Lazio;Inter;1;1
2020/21;Dom;4;Ott;Parma;Hellas Verona;1;0
2020/21;Dom;4;Ott;Milan;Spezia;3;0
2020/21;Sab;17;Ott;Napoli;Atalanta;4;1
2020/21;Sab;17;Ott;Inter;Milan;1;2
2020/21;Sab;17;Ott;Sampdoria;Lazio;3;0
2020/21;Sab;17;Ott;Crotone;Juventus;1;1
2020/21;Dom;18;Ott;Bologna;Sassuolo;3;4
2020/21;Dom;18;Ott;Spezia;Fiorentina;2;2
